PLACE_ID;CODE;NAME;TYPE_ID;IS_PARKING;IS_TEST;ST_CODE;ST_NAME;ST_NAME_SHORT;LN_CODE;LN_NAME;LN_NAME_SHORT
736;5972;5972;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1962;6000;Место для киоска;1;0;0;;;;;;
40038;6010;Трансавтолиз (10 площадка);8;0;0;;;;;;
39683;6010;Трансавтолиз (10 площадка);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
39684;6011;Трансавтолиз (1 площадка);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40039;6011;Трансавтолиз (1 площадка);8;0;0;;;;;;
40040;6012;Трансавтолиз (2 площадка);8;0;0;;;;;;
39685;6012;Трансавтолиз (Батюнинский);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40041;6013;Трансавтолиз (3 площадка);8;0;0;;;;;;
39686;6013;Трансавтолиз (3 площадка-Батюнинский проезд, д. 2, стр. 2);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
39687;6014;Трансавтолиз (4 площадка);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40042;6014;Трансавтолиз (4 площадка);8;0;0;;;;;;
40043;6015;Трансавтолиз (5 площадка);8;0;0;;;;;;
39688;6015;Трансавтолиз (5 площадка);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40044;6016;Трансавтолиз (6 площадка);8;0;0;;;;;;
39689;6016;Трансавтолиз (6 площадка-Красная Пахра);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40045;6017;Трансавтолиз (7 площадка);8;0;0;;;;;;
39690;6017;Трансавтолиз (7 площадка-Тушино);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40046;6018;Трансавтолиз (8 площадка);8;0;0;;;;;;
39691;6018;Трансавтолиз (Долгопрудный);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
39692;6019;Трансавтолиз (9 площадка-Ясенево);8;0;0;601;Трансавтолиз;ТАЛ;4;Наземный городской пассажирский транспорт;НГПТ
40047;6019;Трансавтолиз (9 площадка);8;0;0;;;;;;
40048;6021;Гепарт (1 площадка);8;0;0;;;;;;
39693;6021;Гепарт (1 площадка);8;0;0;602;Гпрт;Гпрт;4;Наземный городской пассажирский транспорт;НГПТ
40049;6022;Гепарт (2 площадка);8;0;0;;;;;;
39694;6022;Гепарт (2 площадка);8;0;0;605;ГорТакси;ГорТ;4;Наземный городской пассажирский транспорт;НГПТ
40050;6051;Гортакси;8;0;0;;;;;;
39695;6051;Гортакси;8;0;0;605;ГорТакси;ГорТ;4;Наземный городской пассажирский транспорт;НГПТ
737;6060;6060;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
738;6061;6061;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
40051;6061;Таксомоторный парк №20 (1 площадка);8;0;0;;;;;;
39696;6061;Таксомоторный парк №20 (1 площадка, Чагинская улица);8;0;0;606;Таксомоторный парк №20;ТП20;4;Наземный городской пассажирский транспорт;НГПТ
739;6062;6062;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
40052;6062;Таксомоторный парк №20 (2 площадка);8;0;0;;;;;;
39697;6062;Таксомоторный парк №20 (2 площадка, Алтуфьевское ш., Север);8;0;0;606;Таксомоторный парк №20;ТП20;4;Наземный городской пассажирский транспорт;НГПТ
40053;6063;Таксомоторный парк №20 (3 площадка);8;0;0;;;;;;
740;6063;6063;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
39698;6063;Таксомоторный парк №20 (3 площадка, пос. Московский, Запад);8;0;0;606;Таксомоторный парк №20;ТП20;4;Наземный городской пассажирский транспорт;НГПТ
40054;6064;Таксомоторный парк №20 (4 площадка);8;0;0;;;;;;
741;6064;6064;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
39699;6064;Таксомоторный парк №20 (4 площадка);8;0;0;607;АлГр;АлГр;4;Наземный городской пассажирский транспорт;НГПТ
742;6066;6066;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
743;6067;6067;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
744;6068;6068;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
745;6071;6071;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
39700;6071;Альфа Грант (1 площадка);8;0;0;607;АлГр;АлГр;4;Наземный городской пассажирский транспорт;НГПТ
40055;6071;Альфа Грант (1 площадка);8;0;0;;;;;;
39701;6072;Альфа Грант (2 площадка);8;0;0;608;РИКО;РИКО;4;Наземный городской пассажирский транспорт;НГПТ
40056;6072;Альфа Грант (2 площадка);8;0;0;;;;;;
746;6072;6072;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
747;6073;6073;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
748;6074;6074;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
749;6076;6076;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
