RT_CODE;PARENT_RT_CODE;NAME;ROUTE_NAME
109;1;ММ/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
110;1;ММ/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
111;1;ММ/МЦД МСК-ДП_1;ММ/МЦД-М-МЦД-МО
112;1;ММ/МЦД МСК-ДП_2;ММ/МЦД-М-МЦД-МО
113;0;ММТС;ММ
114;113;ММТС/ММ;ММ
115;114;ММТС/ММ/МЦК;ММ
116;115;ММТС/ММ/МЦК/ММ;ММ
117;116;ММТС/ММ/МЦК/ММ/МГТ;ММ/МГТ
118;115;ММТС/ММ/МЦК/МГТ;ММ/МГТ
119;115;ММТС/ММ/МЦК/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
120;115;ММТС/ММ/МЦК/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
121;119;ММТС/ММ/МЦК/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
122;120;ММТС/ММ/МЦК/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
123;115;ММТС/ММ/МЦК/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
124;115;ММТС/ММ/МЦК/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
125;115;ММТС/ММ/МЦК/МЦД МСК-ДП_1;ММ/МЦД-М-МЦД-МО
126;115;ММТС/ММ/МЦК/МЦД МСК-ДП_2;ММ/МЦД-М-МЦД-МО
127;114;ММТС/ММ/МГТ;ММ/МГТ
128;114;ММТС/ММ/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
129;114;ММТС/ММ/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
130;128;ММТС/ММ/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/ММ
131;129;ММТС/ММ/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/ММ
132;130;ММТС/ММ/МЦД МСК-МЦД МСК_1/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
133;131;ММТС/ММ/МЦД МСК-МЦД МСК_2/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
134;128;ММТС/ММ/МЦД МСК-МЦД МСК_1/МЦК;ММ/МЦД-М/ММ
135;129;ММТС/ММ/МЦД МСК-МЦД МСК_2/МЦК;ММ/МЦД-М/ММ
136;134;ММТС/ММ/МЦД МСК-МЦД МСК_1/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
137;135;ММТС/ММ/МЦД МСК-МЦД МСК_2/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
138;128;ММТС/ММ/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
139;129;ММТС/ММ/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
140;128;ММТС/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/МЦД-М
141;129;ММТС/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/МЦД-М
142;140;ММТС/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МЦД-М/МГТ
143;141;ММТС/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МЦД-М/МГТ
144;128;ММТС/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МО_2;ММ/МЦД-М/МЦД-М-МЦД-МО
145;129;ММТС/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МО_1;ММ/МЦД-М/МЦД-М-МЦД-МО
146;128;ММТС/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-ДП_2;ММ/МЦД-М/МЦД-М-МЦД-МО
147;129;ММТС/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-ДП_1;ММ/МЦД-М/МЦД-М-МЦД-МО
148;114;ММТС/ММ/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
149;114;ММТС/ММ/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
150;114;ММТС/ММ/МЦД МСК-ДП_1;ММ/МЦД-М-МЦД-МО
151;114;ММТС/ММ/МЦД МСК-ДП_2;ММ/МЦД-М-МЦД-МО
152;113;ММТС/МГТ;ММ/МГТ
153;113;ММТС/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
154;113;ММТС/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
155;153;ММТС/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/ММ
156;154;ММТС/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/ММ
157;155;ММТС/МЦД МСК-МЦД МСК_1/ММ/МЦК;ММ/МЦД-М/ММ
158;156;ММТС/МЦД МСК-МЦД МСК_2/ММ/МЦК;ММ/МЦД-М/ММ
